id,supermarket,name,price,reference_price,reference_unit
249037,mercadona-es,Arreglo para paella de marisco,8.0,10.0,kg
249038,mercadona-es,Langostino cocido,5.75,9.58,kg
249039,mercadona-es,Langostino en su nido Vdfoodltd congelado,4.5,15.0,kg
249040,mercadona-es,Langostino crudo y pelado Pescanova ultracongelado,3.25,16.25,kg
249041,mercadona-es,Gamba pelada cruda tamaño grande Hacendado ultracongelada,5.95,16.53,kg
249042,mercadona-es,Bocas chicas de cangrejos congeladas,1480.05,14.95,kg
249043,mercadona-es,Cuerpos chicos de cangrejo Dimarosa congelados,1381.05,13.95,kg
249044,mercadona-es,Nécora cocida Errigal Bay congelada,5.95,11.9,kg
249045,mercadona-es,Cigala mediana Hacendado ultracongelada,7.95,15.9,kg
249046,mercadona-es,Cigala grande Hacendado ultracongelada,11.95,23.9,kg
249047,mercadona-es,Buey de mar cocido Hacendado congelado,7.25,12.08,kg
249048,mercadona-es,Mejillón,1.95,1.95,kg
249049,mercadona-es,Carne de mejillón de Chile cocido Hacendado ultracongelado,2.2,8.0,kg
249050,mercadona-es,Mejillón de Chile cocido media concha Hacendado ultracongelado,2.85,7.92,kg
249051,mercadona-es,Mejillón de Chile entero cocido Hacendado ultracongelado,2.6,5.78,kg
249052,mercadona-es,Mejillón vivo y limpio,2.8,3.73,kg
249053,mercadona-es,Almeja japonesa,7.2,14.4,kg
249054,mercadona-es,Almeja del Pacífico Hacendado congelada,2.95,2.95,kg
249055,mercadona-es,Almeja del pacífico Hacendado congelada,1.8,4.0,kg
249056,mercadona-es,Almeja entera Mascato,2.35,3.92,kg
249057,mercadona-es,Berberechos,5.7,11.4,kg
249058,mercadona-es,Navaja cruda Hacendado congelada,3.5,7.78,kg
249059,mercadona-es,Navajas,3.7,7.4,kg
249060,mercadona-es,Cañaílla,2.6,5.2,kg
249061,mercadona-es,Clóchina Valenciana,4.95,4.95,kg
249062,mercadona-es,Carne de almeja Hacendado ultracongelada,2.49,12.45,kg
249063,mercadona-es,Mejillón gordo,2.85,2.85,kg
249064,mercadona-es,Palitos de surimi Pescanova,2.19,4.76,kg
249065,mercadona-es,Palitos de surimi Pescanova,3.99,4.34,kg
249066,mercadona-es,Tronquitos de surimi Pescanova ultracongelados,1.99,3.32,kg
249067,mercadona-es,Tronquitos de surimi Pescanova ultracongelados,3.85,3.21,kg
249068,mercadona-es,Muslitos de surimi Pescanova ultracongelados,2.15,4.78,kg
249069,mercadona-es,Caracoles precocidos Hacendado ultracongelados,2.09,5.97,kg
249070,mercadona-es,Surimi rallado Pescanova,1.5,8.11,kg
249071,mercadona-es,Tallarimis Pescanova,1.95,7.8,kg
249072,mercadona-es,Rodaja de emperador,6.18,15.45,kg
249073,mercadona-es,Escalopines de salmón sin espinas,8.2,20.5,kg
249074,mercadona-es,Anguriñas de surimi Pescanova,2.19,8.76,kg
249075,mercadona-es,Anguriñas de surimi Pescanova,3.99,7.98,kg
249076,mercadona-es,Rodajas de salmón,6.6,16.5,kg
249077,mercadona-es,Bacalao al punto de sal,5.98,11.95,kg
249078,mercadona-es,Filetes de lubina,7.8,19.5,kg
249079,mercadona-es,Bacalao estilo pil pil,3.75,16.3,kg
249080,mercadona-es,Rodajas de potón a la gallega Hacendado,3.75,10.71,kg
249082,mercadona-es,Salmón al curry Hacendado,5.5,16.92,kg
249083,mercadona-es,Elaborado de salmón y merluza,2.0,5.56,kg
249084,mercadona-es,Filetes de dorada,7.2,18.95,kg
249085,mercadona-es,Filete de salmón,7.2,18.0,kg
249086,mercadona-es,Filetes de trucha,5.22,13.05,kg
249087,mercadona-es,Pulpo cocido,7.5,30.0,kg
249088,mercadona-es,Anguriñas al ajillo Pescanova,2.1,8.4,kg
249090,mercadona-es,Salpicón de marisco,4.95,9.9,kg
249091,mercadona-es,Salmón al curry con arroz,3.5,12.73,kg
249092,mercadona-es,Huevas cocidas de merluzas Embumar,2.15,10.75,kg
249093,mercadona-es,Caracoles en salsa mediterránea,3.95,7.18,kg
249095,mercadona-es,Rodaja rejo cocido,4.5,18.0,kg
249096,mercadona-es,Plancha de salmón,16.82,19.0,kg
249097,mercadona-es,Filete de atún,7.28,28.0,kg
249098,mercadona-es,Filetes de merluza Argentina sin piel Hacendado ultracongelados,5.95,6.13,kg
249099,mercadona-es,Filetes de panga ultracongelados,4.7,5.22,kg
249100,mercadona-es,Filetes de merluza del cabo sin piel Hacendado ultracongelados,3.85,6.64,kg
249101,mercadona-es,Rodaja de emperador Hacendado congelado,3.83,14.2,kg
249102,mercadona-es,Lomos de atún aleta amarilla Escuris ultracongelados,2.68,9.94,kg
249103,mercadona-es,Filetes de bacalao sin espinas Hacendado congelado,4.25,11.33,kg
249104,mercadona-es,Medallones de merluza del cabo Hacendado ultracongelados,3.6,7.42,kg
249105,mercadona-es,Filete de salmón rosado salvaje con piel Hacendado congelado,2.88,10.11,kg
249106,mercadona-es,Rodajas de emperador pequeñas Hacendado ultracongeladas,8.75,9.72,kg
249107,mercadona-es,Lomos y centros de merluza del cabo Hacendado ultracongelados,3.2,8.0,kg
249108,mercadona-es,Anguriñas de surimi Pescanova ultracongeladas,2.19,8.42,kg
249109,mercadona-es,Fritura de pescado Hacendado ultracongelada,4.49,7.48,kg
249110,mercadona-es,Porciones de bacalao sin espinas y sin piel Hacendado congelado,5.98,9.97,kg
249111,mercadona-es,Rodaja de tintorera con piel Hacendado congelada,2.89,4.28,kg
249112,mercadona-es,Porciones de merluza del cabo Hacendado ultracongeladas,3.8,7.6,kg
249113,mercadona-es,Pescadilla de merluza del cabo sin cabeza Hacendado ultracongelada,3.95,3.95,kg
249114,mercadona-es,Cola de rape del cabo Hacendado congelada,7.98,15.95,kg
249115,mercadona-es,Lomo de bacalao sin espinas Hacendado congelado,5.25,13.46,kg
249116,mercadona-es,Filetes de abadejo de Alaska sin piel Hacendado ultracongelados,4.95,5.82,kg
249117,mercadona-es,Filetes de merluza del cabo grandes sin piel Hacendado ultracongelados,7.25,7.47,kg
249118,mercadona-es,Filete de fletán negro Hacendado congelado,4.2,14.0,kg
249119,mercadona-es,Merluza del cabo sin cabeza Hacendado congelada,3.74,5.35,kg
249120,mercadona-es,Anguriñas de surimi Pescanova ultracongeladas,3.99,7.67,kg
249121,mercadona-es,Lenguado entero Hacendado ultracongelado,5.9,9.83,kg
249122,mercadona-es,Lomos de salmón de Noruega sin piel y sin espinas Hacendado congelado,4.89,19.56,kg
249123,mercadona-es,Migas de bacalao sin espinas y sin piel Hacendado congeladas,2.98,9.93,kg
249124,mercadona-es,Rodajas de rape del cabo sin piel Mascato congeladas,6.75,22.5,kg
249125,mercadona-es,Albóndigas de bacalao Camós congeladas,1.5,3.75,kg
249126,mercadona-es,Aritos de surimi a la romana Pescanova ultracongelados,2.19,3.5,kg
249127,mercadona-es,Merluza empanada pan fino Hacendado ultracongelada,2.85,5.59,kg
249128,mercadona-es,Filetes de merluza al huevo Hacendado ultracongelados,3.95,6.58,kg
249129,mercadona-es,Varitas de merluza empanadas Hacendado ultracongeladas,2.5,5.0,kg
249130,mercadona-es,Empanadillas de atún Hacendado ultracongeladas,1.6,3.2,kg
249131,mercadona-es,Mini empanadillas de atún Hacendado ultracongeladas,1.7,3.4,kg
249132,mercadona-es,Palitos de merluza a la romana Hacendado ultracongelados,1.85,3.7,kg
249133,mercadona-es,Figuritas de merluza empanadas Hacendado ultracongeladas,2.75,5.5,kg
249134,mercadona-es,Croquetas de bacalao minis Camós congeladas,1.7,5.67,kg
249135,mercadona-es,Nuggets de merluza Pescanova ultracongelados,1.99,6.03,kg
249136,mercadona-es,Chipirones enharinados Hacendado ultracongelado,4.15,10.38,kg
249137,mercadona-es,Langostino caballitos rebozados Hacendado ultracongelados,2.95,9.83,kg
249138,mercadona-es,Filetes de boquerón en tempura Hacendado ultracongelado,2.95,7.38,kg
249139,mercadona-es,Croquetas de merluza y gambas Preli ultracongeladas,1.5,4.29,kg
249140,mercadona-es,Buñuelos de bacalao Fresno ultracongelados,1.75,5.0,kg
249141,mercadona-es,Chanquitos enharinados Pescanova ultracongelados,1.65,8.92,kg
249142,mercadona-es,Rabas empanadas Hacendado ultracongeladas,3.3,6.6,kg
249143,mercadona-es,Anillas a la romana Hacendado ultracongeladas,3.4,6.8,kg
249144,mercadona-es,Tubo de pota Hacendado congelado,4.1,13.67,kg
249145,mercadona-es,Sepia limpia Hacendado congelada,5.95,14.88,kg
249146,mercadona-es,Sepia limpia troceada Hacendado congelada,3.95,10.97,kg
249147,mercadona-es,Calamar limpio troceado Hacendado congelado,3.95,8.32,kg
249148,mercadona-es,Rodaja de potón del pacífico cocido Hacendado congelado,4.75,10.0,kg
249149,mercadona-es,Sepia limpia pequeña Hacendado congelada,3.95,10.97,kg
249150,mercadona-es,Tiras de potón del Pacífico Hacendado congeladas,3.5,8.75,kg
249151,mercadona-es,Tinta de sepia Nortindal congelada,1.2,3.75,100 g
249152,mercadona-es,Anillas de pota Argentina Hacendado congeladas,4.6,12.78,kg
249153,mercadona-es,Pulpo crudo grande Hacendado congelado,16.84,12.95,kg
249154,mercadona-es,Chipirón puntilla Hacendado congelado,3.75,8.33,kg
249155,mercadona-es,Pulpo cocido troceado Profand congelado,6.95,24.39,kg
249156,mercadona-es,Boquerones en vinagre Hacendado en aceite de girasol,1.65,27.5,kg
249157,mercadona-es,Palito de bacalao seco y salado Ubago,2.44,28.75,kg
249158,mercadona-es,Migas de bacalao desaladas Hacendado,4.35,17.4,kg
